שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500117,ייעודה לגיוס עתידי,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500120,שכר מושאלים למשרד,2,קניות,33,קניות בארץ,הוצאה,0,518,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500121,"רב""ק - שיא כח אדם",1,שכר,30,שכר בארץ,הוצאה,0,14663,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500122,"רב""ק-עבודה בלתי צמיתה",1,שכר,30,שכר בארץ,הוצאה,0,5558,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500123,"רב""ק-כוננויות",1,שכר,30,שכר בארץ,הוצאה,0,484,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500124,"רב""ק-החזר הוצאות רכב",1,שכר,30,שכר בארץ,הוצאה,0,2462,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500125,"רב""ק-שעות נוספות",1,שכר,30,שכר בארץ,הוצאה,0,1063,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500126,"רב""ק-שכר עידוד",1,שכר,30,שכר בארץ,הוצאה,0,310,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500127,"רב""ק-סטודנטים",1,שכר,30,שכר בארץ,הוצאה,0,290,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500128,"רב""ק-הוצאות פרישה",1,שכר,30,שכר בארץ,הוצאה,0,300,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500187,יעודה שכר עידוד,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500188,יעודה שעות העסקה,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500190,יעודה לכוננויות,1,שכר,30,שכר בארץ,הוצאה,0,0,,,,,,,,,,,,,,,,,
